80%,85%,90%,95%,97.50%,100%,102.50%,105%,110%,115%,120%
39.42,33.141,28.898,25.89,24.454,23.011,21.667,20.645,20.209,21.191,22.257
37.411,33.446,30.23,27.693,26.72,25.918,25.215,24.525,23.293,22.908,23.354
34.911,31.69,29.182,27.277,26.489,25.766,25.072,24.391,23.207,22.645,22.727
34.238,31.859,29.783,28.051,27.314,26.657,26.073,25.558,24.712,24.087,23.65
32.201,31.003,29.978,29.072,28.653,28.253,27.872,27.511,26.851,26.284,25.825
31.423,30.554,29.818,29.162,28.854,28.556,28.268,27.989,27.464,26.996,26.596
31.014,30.233,29.569,28.996,28.736,28.491,28.261,28.042,27.638,27.275,26.947
39.529,34.174,29.065,24.954,23.566,22.649,22.219,22.3,23.899,26.65,29.421
35.383,31.021,27.436,24.914,24.071,23.473,23.082,22.878,23.048,24.096,25.903
34.211,30.933,28.342,26.478,25.789,25.247,24.845,24.58,24.467,24.933,25.972
31.37,29.531,28.084,26.994,26.568,26.213,25.923,25.694,25.406,25.325,25.439
29.957,28.867,27.993,27.31,27.031,26.79,26.584,26.409,26.145,25.979,25.898
29.676,28.858,28.166,27.585,27.332,27.104,26.898,26.714,26.41,26.187,26.037
29.631,28.936,28.317,27.766,27.516,27.283,27.067,26.87,26.531,26.267,26.078
41.853,36.94,32.322,28.593,27.254,26.301,25.721,25.496,26.064,27.811,30.165
40.043,35.634,32.153,29.835,29.054,28.476,28.07,27.816,27.726,28.198,29.255
37.766,34.523,31.866,29.874,29.115,28.498,28.012,27.648,27.267,27.338,27.862
34.555,32.587,30.92,29.569,29.011,28.53,28.123,27.787,27.319,27.108,27.14
32.233,31.067,30.11,29.339,29.016,28.73,28.479,28.259,27.904,27.647,27.474
31.482,30.561,29.784,29.134,28.852,28.597,28.367,28.16,27.81,27.538,27.334
30.737,29.947,29.289,28.747,28.515,28.307,28.12,27.954,27.677,27.464,27.306
41.389,35.931,30.208,25.156,23.344,22.066,21.262,20.901,21.724,24.55,27.707
37.435,33.142,29.444,26.488,25.311,24.339,23.572,23.012,22.573,23.226,24.953
35.452,32.126,29.259,26.912,25.933,25.083,24.366,23.787,23.095,23.12,23.945
33.227,31.142,29.329,27.782,27.102,26.481,25.921,25.421,24.62,24.119,23.961
31.857,30.56,29.391,28.35,27.876,27.434,27.022,26.643,25.985,25.465,25.087
31.701,30.737,29.86,29.062,28.69,28.337,28.003,27.687,27.115,26.626,26.225
31.142,30.433,29.801,29.23,28.966,28.714,28.474,28.246,27.827,27.459,27.145
45.91,40.088,35.043,30.955,29.497,28.509,27.99,27.912,28.876,30.669,32.382
39.262,35.891,33.073,30.757,29.837,29.102,28.562,28.22,28.145,28.89,30.287
39.422,36.776,34.57,32.851,32.177,31.621,31.182,30.856,30.526,30.605,31.056
36.709,35.184,33.961,32.996,32.599,32.253,31.956,31.706,31.336,31.131,31.086
34.575,33.838,33.248,32.762,32.549,32.353,32.172,32.004,31.707,31.458,31.256
34.018,33.52,33.108,32.752,32.59,32.435,32.287,32.145,31.877,31.629,31.403
33.791,33.379,33.026,32.719,32.578,32.444,32.317,32.197,31.972,31.768,31.585
37.338,31.925,26.982,22.408,20.407,18.753,17.581,17.128,18.633,21.281,23.528
33.834,29.923,26.067,22.485,21.053,19.956,19.194,18.747,18.89,20.427,22.38
31.219,27.962,24.893,22.225,21.157,20.293,19.631,19.167,18.884,19.391,20.354
29.719,27.223,24.988,23.101,22.32,21.66,21.12,20.697,20.176,20.017,20.125
27.674,25.981,24.577,23.452,22.987,22.58,22.228,21.925,21.444,21.101,20.871
27.035,25.701,24.586,23.679,23.295,22.953,22.648,22.377,21.928,21.584,21.331
26.779,25.659,24.688,23.867,23.512,23.191,22.903,22.647,22.223,21.904,21.676
36.099,32.285,28.495,24.767,23.29,22.22,21.571,21.354,22.311,24.513,26.725
33.68,30.229,27.353,25.501,24.942,24.571,24.33,24.165,24.057,24.587,25.78
31.696,29.073,26.951,25.557,25.086,24.725,24.441,24.21,23.93,24.12,24.799
30.194,28.667,27.321,26.191,25.705,25.271,24.892,24.572,24.144,24.042,24.257
27.492,26.858,26.299,25.748,25.462,25.168,24.87,24.577,24.057,23.71,23.588
27.125,26.608,26.138,25.68,25.45,25.218,24.987,24.764,24.368,24.088,23.951
26.93,26.433,26.001,25.621,25.447,25.283,25.128,24.981,24.714,24.484,24.29
47.936,44.305,40.936,38.38,37.45,36.74,36.25,35.999,36.265,37.416,39.103
46.729,43.573,41.116,39.386,38.778,38.321,37.995,37.784,37.694,38.08,38.946
45.082,42.889,41.126,39.799,39.287,38.871,38.547,38.31,38.086,38.173,38.538
43.071,41.959,40.963,40.095,39.714,39.371,39.067,38.803,38.398,38.154,38.058
41.503,40.754,40.075,39.474,39.203,38.954,38.725,38.516,38.16,37.882,37.676
40.185,39.634,39.148,38.73,38.547,38.382,38.233,38.102,37.887,37.733,37.636
39.272,38.854,38.458,38.093,37.925,37.768,37.621,37.486,37.251,37.061,36.915
45.35,39.041,33.351,28.815,27.223,26.101,25.413,25.138,25.81,27.844,30.388
40.571,36.287,32.702,29.968,28.931,28.104,27.476,27.041,26.76,27.313,28.607
38.133,34.756,32.024,29.972,29.172,28.505,27.96,27.53,27.014,26.973,27.438
34.632,32.645,30.945,29.559,28.985,28.485,28.058,27.699,27.17,26.87,26.779
32.409,31.206,30.163,29.272,28.879,28.521,28.196,27.902,27.403,27.014,26.728
31.415,30.61,29.931,29.363,29.115,28.89,28.685,28.499,28.178,27.916,27.703
