Spot
468.86
411.25
397.32
334.97
266.31
259.58
213.53
211.03
208.99
204.65
204.19
176.04
175.08
170.25
168.93
164.34
160.71
153.68
153.34
152.43
137.15
123.02
118.45
73.21
57.02
55
54.91
51.75
50.49
48.5
